年数,排名,国家/地区,所在洲,GDP(美元计)
2020,1,美国,美洲,20.89万亿 
2020,2,中国,亚洲,14.69万亿 
2020,3,日本,亚洲,5.04万亿 
2020,4,德国,欧洲,3.85万亿 
2020,5,英国,欧洲,2.76万亿 
2020,6,印度,亚洲,2.67万亿 
2020,7,法国,欧洲,2.63万亿 
2020,8,意大利,欧洲,1.89万亿 
2020,9,加拿大,美洲,1.65万亿 
2020,10,韩国,亚洲,1.64万亿 
2020,11,俄罗斯,欧洲,1.49万亿 
2020,12,巴西,美洲,1.45万亿 
2020,13,澳大利亚,大洋洲,1.33万亿 
2020,14,西班牙,欧洲,1.28万亿 
2020,15,墨西哥,美洲,1.09万亿 
2020,16,印尼,亚洲,1.06万亿 
2020,17,荷兰,欧洲,9138.65亿 
2020,18,瑞士,欧洲,7522.48亿 
2020,19,土耳其,欧洲,7199.55亿 
2020,20,沙特阿拉伯,亚洲,7033.68亿 
2020,21,波兰,欧洲,5966.24亿 
2020,22,瑞典,欧洲,5414.87亿 
2020,23,比利时,欧洲,5216.77亿 
2020,24,泰国,亚洲,4996.82亿 
2020,25,奥地利,欧洲,4332.58亿 
2020,26,尼日利亚,非洲,4322.94亿 
2020,27,爱尔兰,欧洲,4258.89亿 
2020,28,以色列,亚洲,4071.01亿 
2020,29,阿根廷,美洲,3895.91亿 
2020,30,孟加拉,亚洲,3739.02亿 
2020,31,埃及,非洲,3652.53亿 
2020,32,挪威,欧洲,3621.98亿 
2020,33,菲律宾,亚洲,3617.51亿 
2020,34,阿联酋,亚洲,3588.69亿 
2020,35,丹麦,欧洲,3560.85亿 
2020,36,新加坡,亚洲,3452.96亿 
2020,37,香港,亚洲,3448.81亿 
2020,38,马来西亚,亚洲,3370.06亿 
2020,39,南非,非洲,3354.42亿 
2020,40,巴基斯坦,亚洲,3003.06亿 
2020,41,芬兰,欧洲,2718.37亿 
2020,42,越南,亚洲,2711.58亿 
2020,43,哥伦比亚,美洲,2703.0亿 
2020,44,智利,美洲,2527.27亿 
2020,45,罗马尼亚,欧洲,2495.11亿 
2020,46,捷克,欧洲,2453.39亿 
2020,47,伊朗,亚洲,2315.48亿 
2020,48,葡萄牙,欧洲,2285.39亿 
2020,49,新西兰,大洋洲,2117.35亿 
2020,50,秘鲁,美洲,2017.05亿 
2020,51,希腊,欧洲,1888.35亿 
2020,52,伊拉克,亚洲,1843.7亿 
