年数,排名,国家/地区,所在洲,GDP(美元/亿)
1968,1,美国,美洲,9425.0亿 
1968,2,日本,亚洲,1466.01亿 
1968,3,法国,欧洲,1297.85亿 
1968,4,英国,欧洲,1077.6亿 
1968,5,意大利,欧洲,879.42亿 
1968,6,加拿大,美洲,718.3亿 
1968,7,中国,亚洲,708.47亿 
1968,8,印度,亚洲,530.85亿 
1968,9,巴西,美洲,339.3亿 
1968,10,澳大利亚,大洋洲,327.17亿 
1968,11,西班牙,欧洲,314.76亿 
1968,12,瑞典,欧洲,310.67亿 
1968,13,墨西哥,美洲,293.6亿 
1968,14,荷兰,欧洲,278.18亿 
1968,15,阿根廷,美洲,264.37亿 
1968,16,比利时,欧洲,213.76亿 
1968,17,瑞士,欧洲,189.43亿 
1968,18,土耳其,欧洲,175.0亿 
1968,19,南非,非洲,148.95亿 
1968,20,丹麦,欧洲,135.06亿 
1968,21,奥地利,欧洲,124.41亿 
1968,22,挪威,欧洲,101.6亿 
1968,23,希腊,欧洲,100.91亿 
1968,24,委内瑞拉,美洲,100.34亿 
1968,25,芬兰,欧洲,88.23亿 
1968,26,菲律宾,亚洲,86.33亿 
1968,27,伊朗,亚洲,86.23亿 
1968,28,巴基斯坦,亚洲,80.42亿 
1968,29,孟加拉,亚洲,74.84亿 
1968,30,智利,美洲,71.67亿 
1968,31,印尼,亚洲,70.76亿 
1968,32,葡萄牙,欧洲,63.54亿 
1968,33,韩国,亚洲,61.19亿 
1968,34,泰国,亚洲,60.81亿 
1968,35,哥伦比亚,美洲,59.6亿 
1968,36,埃及,非洲,59.32亿 
1968,37,秘鲁,美洲,57.36亿 
1968,38,尼日利亚,非洲,52.01亿 
1968,39,新西兰,大洋洲,51.81亿 
1968,40,以色列,亚洲,46.19亿 
1968,41,沙特阿拉伯,亚洲,41.88亿 
1968,42,波多黎各,美洲,39.42亿 
1968,43,刚果（金）,非洲,39.1亿 
1968,44,阿尔及利亚,非洲,38.52亿 
1968,45,马来西亚,亚洲,33.3亿 
1968,46,爱尔兰,欧洲,32.79亿 
1968,47,摩洛哥,非洲,32.71亿 
1968,48,伊拉克,亚洲,28.97亿 
1968,49,香港,亚洲,27.17亿 
1968,50,科威特,亚洲,26.63亿 
1968,51,厄瓜多尔,美洲,25.82亿 
